Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
engenheiro de dados / cientista de dados - senior - datasus,"São Paulo, SP",Keyrus Brazil,Experiência com modelagem de dados.Suporte em integração de dados DataSUS com outras fontes de mercado e internas.Experiência de trabalho com base DataSUS.,https://tinyurl.com/y67wj9j8,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados (modelagem de credito),"São Paulo, SP",Michael Page International do Brasil Recrutamento...,"Forte capacidade analítica, com experiência em modelagem de dados e análises.Construção e acompanhamento dos parâmetros de risco de crédito (PD, EAD, LGD);",https://tinyurl.com/y42r622p,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados | presencial,"São Paulo, SP",Ambev Tech,Proativamente identificar oportunidades de aplicação de ciência de dados na rotina de áreas de negócio em suprimentos.Presente de Natal para os Filhos;,https://tinyurl.com/yy2c2mk9,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Robert Half,Conduzir a Mineração de dados de diversas fontes com viés estatístico e orientado a dados para o fornecimento de inteligência para direcionar a tomada de…,https://tinyurl.com/yyk4edgx,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados- jr,"São Paulo, SP",Stefanini,"Conhecimento de ferramentas de Big Data (PySpark, Hive) Capacidade de traduzir um problema de negócios em um problema de Data Science;",https://tinyurl.com/y4e5bxr7,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",KPMG,Buscaremos profissionais com o perfil sênior para atuar como um cientista de dados pensando na engenharia de dados no geral.Esse é o nosso propósito.,https://tinyurl.com/y59vq9pr,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Duratex,"Transformar dados em insights de negócios para tomada de decisões;Equipe de Analytics com foco em captura, análise e processamento de dados.",https://tinyurl.com/y4dg6a3g,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Brasilprev,Sistemas de visualização de dados.Venha fazer parte do nosso time de DADOS que tem como foco o ganho em eficiência operacional e entrega de proposta de valor…,https://tinyurl.com/y4wzjpt5,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Wyser,"Conhecimento em modelagem de dados;Aplicar as técnicas em ciências de dados para resolução de problemas complexos de negócio, sempre orientado aos resultados…",https://tinyurl.com/yxtvel7u,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Vivo (Telefônica Brasil),Manipular grandes volumes de dados;Domínio em banco de dados e linguagem SQL;Participar de um dos maiores programas de voluntariado corporativo para você…,https://tinyurl.com/y6nq8dk4,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados - analytics,"São Paulo, SP",HAYS,Atuar como cientis de dados na evolução e manutenção dos serviços e modelos da Duratex frente aos novos desafios tecnológicos; • Atuar no desenvolvimento de…,https://tinyurl.com/y3sfu8yf,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Assina Saúde,Buscamos um(a) cientista de dados para criarem e implementarem modelos de predição e análise.Desenvolver modelos utilizando técnicas de Inteligência Artificial…,https://tinyurl.com/yy3wo2oe,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Saúde iD - Toda Saúde é única.,Apresentar resultados de projetos de ciência de dados de forma compreensível pelas áreas envolvidas;Discutir a adoção de novas ferramentas de análise de dados…,https://tinyurl.com/y4zarx54,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
pessoa cientista de dados senior,"São Paulo, SP",ClickBus,SQL e estrutura de banco de dados.Liderança de frentes de trabalho e/ou projetos de alta complexidade analítica.Café para quem é de café;,https://tinyurl.com/yysvw68q,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro/cientista de dados - pleno,"São Paulo, SP",Softtek,"Aplicar técnicas de visualização de dados e de estatística para análise de dados.O cientista de dados desempenhará um papel fundamental no planejamento,…",https://tinyurl.com/y2tu53p6,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados machine learning,"São Paulo, SP",GeekHunter,Análise de dados para suporte a planejamento e tomada de decisões.Gestão de dados (estruturados e não estruturados).Personalização da carteira de benefícios.,https://tinyurl.com/y5klckwm,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
analista crm pl - cientista de dados,"São Paulo, SP",BANCO DAYCOVAL,"Domínio de ferramentas de Banco de dados e linguagem de programação (SQL, Python, R ).Aplicar técnicas de advanced analytics para produzir segmentações,…",https://tinyurl.com/y6q35o8s,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados senior,"São Paulo, SP",HAYS,"Pacote de benefícios atrativo de mercado!Experiência comprovada como cientista de dados - com algoritimos de Machine Learning (Redes Neurais,K-NN, Naïve Bayes,…",https://tinyurl.com/y6fas3kz,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Lojas Riachuelo,"Manipular e extrair informações de bancos de dados.Você será responsável por criar hipóteses e apresentar soluções para os desafios de negócios, como por…",https://tinyurl.com/y4gccday,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
