Cargo,Local,Empresa,Descricao,Link
Anl Prevencao Fraude (Cientista de Dados) PL/SR,"São Paulo, SP",Santander Brasil,"Conhecimento em manipulação de grandes volumes de dados e linguagens de programação (SQL, Python, SAS e Excel);Aqui você pode ser quem você é!",https://tinyurl.com/y4rxk9fp
Cientista de Dados - remoto,"São Paulo, SP",HOLDEN Recruiting Talents,Cliente: Empresa de grande porte.Banco de Dados SQL Server;Conhecimentos em técnicas de Machine Learning;Metodologia Six Sigma - Green Belt;,https://tinyurl.com/y52cfsv7
[BELO HORIZONTE] Cientista de Dados,"Belo Horizonte, MG",RADIX Engenharia e Software,Limpeza e análise estatística de dados;Executar projeto inovador de análise de imagens para prevenção de incidentes em barragen.Plano de Saúde e Odontológico;,https://tinyurl.com/y5xltfl9
Cientista de Dados Especialista,"Curitiba, PR",Ewave do Brasil,"Domínio de uma linguagem de programação com foco em análise e manipulação de dados, preferencialmente Python;Experiência com bases de dados NoSQL e SQL;",https://tinyurl.com/y68cs9qb
Cientista de Dados,"São Paulo, SP",Comunidade Cognitivo.ai,"Criação de features para otimização de modelos.A posição de Cientista de Dados irá atuar nos nossos projetos, de forma freelancer e 100% remota.",https://tinyurl.com/yyxkkeev
Pessoa Cientista de Dados,"Rio de Janeiro, RJ",Passei Direto,Experiência em mineração de dados e facilidade em trabalhar com grandes conjuntos de dados;A Passei Direto está procurando uma Pessoa Cientista de Dados para…,https://tinyurl.com/y6q5v8tr
Cientista de Dados,"São Paulo, SP",TOTVS,"Experiência na manipulação dos seguintes itens: modelo multidimensional (OLAP), data warehouse, data mart, mineração de dados, banco de dados relacionais (OLTP)…",https://tinyurl.com/y46w8xf3
Cientista de Dados Hadoop,"São Paulo, SP",GeekHunter,"Evoluir com a disciplina de DevOps no time de dados.Somos a maior consultoria de intermediação imobiliária do país, com mais de 80 anos de história,…",https://tinyurl.com/y3vd9wvd
Cientista de Dados Sênior,"São Paulo, SP",GeekHunter,"Procurar por ordem e padrões nos dados, além de identificar tendências que podem ajudar no resultado financeiro de uma empresa;O que você irá fazer?",https://tinyurl.com/y37d2bo8
Cientista de Dados - Bari Service,"Curitiba, PR",Banco Bari e Grupo,"Domínio de uma linguagem de programação com foco em análise e manipulação de dados, preferencialmente Python;Experiência com bases de dados NoSQL e SQL;",https://tinyurl.com/y497gwbl
Consultor(a) de BI / Cientista de Dados,"Betim, MG",Vetta,Aplicação de modelos estatísticos em grandes volumes de dados e desenvolvimento de projetos de análise de dados.Conhecimento em Data Stage é diferencial.,https://tinyurl.com/yybm3vt3
